timestamp,ticker,direction,confidence_pct,last_close,votes
2026-05-06 19:48:25,SPY,UP,40,733.83,"RSI 75.9: overbought, no vote | MACD above signal: bullish | MACD histogram growing: bullish | Volume 53.3M neutral"
2026-05-06 19:52:58,SPY,UP,40,733.83,"MA50 $681.92 MA200 $nan: mixed structure | RSI 75.9: overbought, no vote | MACD above signal: bullish | MACD histogram growing: bullish | Volume 53.3M neutral"
2026-05-06 19:54:33,SPY,UP,40,733.83,"Price $733.83 above MA50 $681.92 and MA200 $669.47: bullish structure | RSI 75.7: overbought, no vote | MACD above signal: bullish | MACD histogram growing: bullish | Volume 53.3M neutral"
2026-05-11 18:00:05,SPY,WEAK,40,739.3,"Price $739.3 above MA50 $684.83 and MA200 $671.11: bullish structure | RSI 76.1: overbought, no vote | MACD above signal: bullish | MACD histogram growing: bullish | Volume 42.7M neutral"
2026-05-12 18:00:05,SPY,NEUTRAL,0.0,738.18,"Price $738.18 above MA50 $685.91 and MA200 $671.64: bullish structure | RSI 74.7: overbought, no vote | MACD above signal: bullish | MACD histogram neutral: no vote"
2026-05-13 18:00:04,SPY,NEUTRAL,0.0,742.31,"Price $742.31 above MA50 $687.18 and MA200 $672.19: bullish structure | RSI 76.5: overbought, no vote | MACD above signal: bullish | MACD histogram neutral: no vote"
2026-05-16 19:52:19,SPY,NEUTRAL,0.0,739.17,Price $739.17 above MA50 $689.68 and MA200 $673.34: bullish structure | RSI 68.0: bullish | MACD above signal: bullish | MACD histogram neutral: no vote
2026-05-18 18:54:54,SPY,NEUTRAL,0.0,738.65,Price $738.65 above MA50 $691.04 and MA200 $673.89: bullish structure | RSI 67.5: bullish | MACD below signal: bearish | MACD histogram falling: bearish
2026-05-18 19:19:32,SPY,NEUTRAL,0.0,738.65,Price $738.65 above MA50 $691.04 and MA200 $673.89: bullish structure | RSI 67.5: bullish | MACD below signal: bearish | MACD histogram falling: bearish
2026-05-19 18:00:05,SPY,NEUTRAL,0.0,733.73,Price $733.73 above MA50 $692.18 and MA200 $674.48: bullish structure | RSI 62.2: bullish | MACD below signal: bearish | MACD histogram falling: bearish
2026-05-20 18:00:05,SPY,NEUTRAL,0.0,741.25,Price $741.25 above MA50 $693.5 and MA200 $675.06: bullish structure | RSI 66.5: bullish | MACD below signal: bearish | MACD histogram falling: bearish
2026-05-21 18:00:06,SPY,NEUTRAL,0.0,742.72,Price $742.72 above MA50 $694.87 and MA200 $675.66: bullish structure | RSI 67.3: bullish | MACD below signal: bearish | MACD histogram falling: bearish
2026-05-22 18:00:05,SPY,NEUTRAL,0.0,745.64,Price $745.64 above MA50 $696.49 and MA200 $676.25: bullish structure | RSI 68.9: bullish | MACD below signal: bearish | MACD histogram neutral: no vote
2026-05-27 11:30:15,SPY,NEUTRAL,0.0,750.835,"Price $750.84 above MA50 $699.97 and MA200 $677.46: bullish structure | RSI 71.5: overbought, no vote | MACD below signal: bearish | MACD histogram neutral: no vote"
2026-05-27 18:00:04,SPY,NEUTRAL,0.0,750.46,"Price $750.46 above MA50 $699.96 and MA200 $677.46: bullish structure | RSI 71.2: overbought, no vote | MACD below signal: bearish | MACD histogram neutral: no vote"
2026-05-28 18:00:05,SPY,NEUTRAL,0.0,754.6,"Price $754.6 above MA50 $701.67 and MA200 $678.08: bullish structure | RSI 73.3: overbought, no vote | MACD below signal: bearish | MACD histogram neutral: no vote"
2026-05-29 18:00:03,SPY,NEUTRAL,0.0,756.48,"Price $756.48 above MA50 $703.61 and MA200 $678.68: bullish structure | RSI 74.2: overbought, no vote | MACD below signal: bearish | MACD histogram neutral: no vote"
2026-06-01 18:00:04,SPY,NEUTRAL,0.0,758.54,"Price $758.54 above MA50 $705.62 and MA200 $679.27: bullish structure | RSI 75.2: overbought, no vote | MACD below signal: bearish | MACD histogram neutral: no vote"
2026-06-02 18:00:05,SPY,NEUTRAL,0.0,759.57,"Price $759.57 above MA50 $707.84 and MA200 $679.87: bullish structure | RSI 75.7: overbought, no vote | MACD below signal: bearish | MACD histogram neutral: no vote"
2026-06-03 18:00:03,SPY,NEUTRAL,0.0,754.24,Price $754.24 above MA50 $709.82 and MA200 $680.45: bullish structure | RSI 68.0: bullish | MACD below signal: bearish | MACD histogram falling: bearish
2026-06-04 18:00:05,SPY,NEUTRAL,0.0,757.09,Price $757.09 above MA50 $711.9 and MA200 $681.05: bullish structure | RSI 69.7: bullish | MACD below signal: bearish | MACD histogram falling: bearish
2026-06-05 18:00:04,SPY,DOWN,90,737.55,Price $737.55 above MA50 $713.51 and MA200 $681.56: bullish structure | RSI 49.5: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 91.1M above avg: confirms signal
2026-06-08 18:00:02,SPY,NEUTRAL,0.0,739.22,Price $739.22 above MA50 $715.39 and MA200 $682.1: bullish structure | RSI 50.8: bullish | MACD below signal: bearish | MACD histogram falling: bearish
2026-06-09 14:04:45,SPY,DOWN,90,737.05,Price $737.05 above MA50 $717.45 and MA200 $682.63: bullish structure | RSI 49.0: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 86.8M above avg: confirms signal
2026-06-09 18:00:04,SPY,DOWN,90,737.05,Price $737.05 above MA50 $717.45 and MA200 $682.63: bullish structure | RSI 49.0: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 86.8M above avg: confirms signal
2026-06-10 18:00:06,SPY,DOWN,90,725.43,Price $725.43 above MA50 $719.32 and MA200 $683.06: bullish structure | RSI 40.7: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 57.8M neutral
2026-06-11 09:28:13,SPY,DOWN,80,728.445,Price $728.45 above MA50 $720.88 and MA200 $683.52: bullish structure | RSI 43.4: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 25.7M below avg: weakens signal
